Datum,Latitude,Longitude,UUID,MOVEMENT_C,MOVEMENT_D,Rainfall_7d_mm,Rainfall_14d_mm,Rainfall_21d_mm,BIO01_Historical_Mean,BIO05_Historical_Max,BIO06_Historical_Min,BIO12_Historical_Prec,BIO13_Historical_Prec,BIO15_Historical_Prec,Elevation,Slope
2022-08-12 10:00:00,46.88700230741398,12.290570793598736,random-0379-no-landslide,99.0,No Rutschung,47.892822265625,61.96,38.35,0.15416671,12.1,-10.2,1330.0,165.0,27.544449,2320,20
2016-11-24 09:00:00,47.0007290752925,10.608680683291023,random-0380-no-landslide,99.0,No Rutschung,8.833984375,15.46,30.4,6.0416665,20.0,-6.1,783.0,108.0,38.96522,1356,17
2019-02-09 23:00:00,46.70480348202046,11.469641555854508,random-0381-no-landslide,99.0,No Rutschung,7.054718017578125,47.59,0.29,-0.1999999,11.6,-10.3,888.0,110.0,28.141058,2415,4
2016-10-28 04:00:00,46.54480896714728,10.825693900556209,random-0382-no-landslide,99.0,No Rutschung,19.333251953125,42.09,20.64,-2.1375,9.0,-11.8,646.0,71.0,17.175514,2677,21
2018-10-03 22:00:00,47.02240300167802,11.419014315885644,random-0383-no-landslide,99.0,No Rutschung,15.25640869140625,20.2,8.72,4.4875,18.3,-6.8,953.0,131.0,43.159912,1557,14
2020-09-25 15:00:00,46.40807808918285,12.026089553294527,random-0384-no-landslide,99.0,No Rutschung,51.0201416015625,4.42,30.17,6.741667,21.3,-5.9,811.0,109.0,42.57112,1153,12
2016-01-14 23:00:00,46.941690811868455,10.565713736248668,random-0385-no-landslide,99.0,No Rutschung,18.2969970703125,15.59,0.01,3.8041668,17.2,-8.0,747.0,99.0,35.211964,1726,24
2017-07-29 01:00:00,46.446692540038505,11.231987710805882,random-0386-no-landslide,99.0,No Rutschung,35.7548828125,6.74,35.24,8.525,23.5,-4.3,639.0,83.0,43.101727,973,22
2020-07-10 12:00:00,46.90768513579353,10.583499829954238,random-0387-no-landslide,99.0,No Rutschung,3.58062744140625,48.61,12.3,1.2750001,14.8,-10.4,778.0,99.0,30.149878,2005,7
2022-08-16 18:00:00,46.75093815153864,12.014276946555889,random-0388-no-landslide,99.0,No Rutschung,4.138916015625,28.61,17.15,6.2875,20.9,-6.5,776.0,117.0,46.573433,1197,12
2016-01-24 07:00:00,46.45340294986323,11.875332811991097,random-0389-no-landslide,99.0,No Rutschung,0.06182861328125,22.82,8.95,1.6666667,14.1,-8.8,1097.0,149.0,39.55182,2142,8
2022-05-05 16:00:00,46.43618266311122,11.197428586199266,random-0390-no-landslide,99.0,No Rutschung,7.98583984375,23.95,0.84,5.725,19.3,-5.4,478.0,67.0,50.533783,1519,7
2023-08-19 16:00:00,46.29395544053143,11.427783277238907,random-0391-no-landslide,99.0,No Rutschung,46.47760009765625,4.17,83.83,7.4166665,22.1,-4.8,620.0,81.0,43.62458,1179,5
2024-01-28 16:00:00,47.01853474369583,12.173155628627253,random-0392-no-landslide,99.0,No Rutschung,19.57574462890625,4.47,0.01,-3.7125,7.4,-13.4,1515.0,162.0,15.264515,2877,8
2019-12-29 04:00:00,46.61193590770445,11.42641969016302,random-0393-no-landslide,99.0,No Rutschung,3.791778564453125,31.28,1.98,2.8541667,15.6,-7.7,674.0,94.0,42.88607,1953,19
2022-12-02 02:00:00,46.50626295438969,12.042634627506224,random-0394-no-landslide,99.0,No Rutschung,12.074432373046877,28.32,10.49,0.7083334,12.5,-9.5,1208.0,154.0,34.46155,2274,13
2016-03-13 02:00:00,46.917473764102525,11.517360108104072,random-0395-no-landslide,99.0,No Rutschung,4.00775146484375,48.51,9.52,5.3166666,19.4,-6.4,889.0,125.0,46.759796,1385,4
2020-02-08 07:00:00,46.920392938780125,11.475251322278018,random-0396-no-landslide,99.0,No Rutschung,8.2208251953125,7.98,0.94,3.4541667,16.2,-7.1,902.0,121.0,37.740936,1899,19
2023-03-15 04:00:00,46.79321532996676,12.122319506706203,random-0397-no-landslide,99.0,No Rutschung,10.10040283203125,1.7,0.3,2.6708333,15.2,-7.9,1162.0,155.0,35.892635,1999,7
