Latitude,Longitude,Elevation,Slope,BIO01_Historical_Mean,BIO05_Historical_Max,BIO06_Historical_Min,BIO12_Historical_Prec,BIO13_Historical_Prec,BIO15_Historical_Prec,Target,Aspect
46.59495397592836,10.687466121493449,1736,22,4.0375,17.5,-7.4,412.0,57.0,44.493546,0,38
46.24583603047749,11.824582059701507,1545,19,4.8416667,18.2,-6.4,894.0,121.0,45.657394,0,242
46.37416179141298,10.897582234165078,1088,23,7.1291666,22.0,-5.7,540.0,71.0,44.047653,0,225
46.71624730492222,11.6551807383111,563,3,9.833333,25.5,-4.3,828.0,105.0,35.97051,0,94
46.46123281951834,11.308235643451416,242,8,11.883333,28.3,-2.7,837.0,104.0,31.646118,0,102
46.46196144119681,10.761364813828123,2507,19,-1.8833333,10.0,-12.2,495.0,58.0,22.547407,0,201
46.53384191588461,11.656872113061226,1844,4,3.5291667,17.1,-7.5,834.0,117.0,43.855007,0,102
46.77088696922051,12.10856823426976,1254,10,6.1375,20.7,-6.7,781.0,118.0,46.41957,0,157
46.979319592164224,10.52532231202321,1467,17,4.825,18.9,-7.6,801.0,109.0,37.048344,0,186
46.47188518655179,12.01218497689958,2076,13,2.2083333,14.6,-8.5,1163.0,155.0,38.186504,0,168
46.77323953248494,10.951224459607786,2962,19,-4.6125,6.1,-14.3,1134.0,118.0,14.249374,0,190
46.54068525962174,10.824701709863394,2662,14,-2.0791667,9.2,-11.8,637.0,70.0,17.899958,0,348
46.47753368964874,11.73940501018854,1531,12,4.75,18.7,-6.8,817.0,116.0,48.40599,0,144
46.681266753230766,10.889359199766256,2577,14,-1.3166667,10.0,-11.1,741.0,86.0,20.533834,0,332
46.84635516033129,12.31359811525641,2311,19,0.13750008,12.1,-10.3,1338.0,165.0,27.830496,0,45
46.96694953930842,11.239431014854278,2948,15,-4.5125,6.1,-14.0,1380.0,142.0,13.709582,0,273
46.68345032742559,11.11113432249941,516,17,10.179167,25.7,-3.3,773.0,98.0,35.81746,0,167
46.488372787226666,10.585090462075447,2547,12,-2.4833333,9.1,-12.8,596.0,70.0,21.837925,0,19
46.658975991325846,11.89797322258725,1426,10,5.5416665,19.6,-6.4,828.0,122.0,47.940903,0,349
46.44911181827963,11.635644817016583,2015,10,2.3208334,14.8,-8.2,874.0,121.0,42.735744,0,77
46.28878583742991,12.000590562068878,950,17,8.0875,22.8,-4.9,832.0,102.0,38.282364,0,49
46.38760453149945,11.944581241260146,1605,19,4.9249997,18.3,-6.2,955.0,131.0,44.65061,0,180
46.38770538563338,10.526846067366812,3024,25,-4.4416666,6.7,-14.1,784.0,81.0,12.11727,0,293
46.2883831357987,11.94275911374598,1226,34,6.304167,20.3,-5.8,833.0,109.0,40.491867,0,2
46.91636794498638,10.717187472624373,2512,23,-1.9875001,10.2,-12.6,998.0,112.0,17.511856,0,89
46.761761345611525,11.193931273083797,1148,18,6.8708334,21.5,-5.2,724.0,102.0,45.738556,0,98
46.73686365727773,11.864848947595284,1335,20,5.9333334,20.1,-6.1,813.0,121.0,48.544373,0,62
46.5342119007035,11.550017989958278,1018,14,7.8958335,23.0,-4.9,709.0,95.0,42.548218,0,333
46.41726583965022,11.850119944391585,2355,24,-0.05000001,11.6,-10.0,1118.0,143.0,34.258232,0,89
46.64547866386194,11.423893509141278,2249,10,1.0,13.3,-9.3,744.0,96.0,32.7825,0,148
46.57910638775461,10.70787838472773,2115,33,1.3166666,13.9,-9.4,429.0,56.0,33.969048,0,291
46.60778439039109,12.1755560252858,2148,15,1.2624999,13.3,-9.1,1221.0,159.0,34.797596,0,358
46.95175455959729,11.451522287932038,1307,7,5.6,20.1,-6.3,892.0,124.0,45.508587,0,187
46.391063000256246,11.50999656371568,1490,8,5.7166667,19.4,-5.4,642.0,91.0,49.07575,0,331
46.460056778901766,10.644466469555196,2805,14,-3.7708335,7.6,-13.6,693.0,76.0,15.61924,0,25
46.72635550568744,12.146953631672767,1264,11,5.9625,20.5,-6.9,758.0,116.0,47.94161,0,307
46.92301912536469,11.684954641146897,1767,22,3.2916667,16.6,-7.7,1004.0,140.0,41.178234,0,166
46.56093951650879,10.908991447002103,2293,16,0.26666668,12.4,-9.8,442.0,54.0,28.285046,0,179
46.872067457390166,11.509063737258552,1316,26,6.225,20.4,-5.5,844.0,120.0,46.611153,0,211
46.95116718494444,11.16677873598475,3202,11,-6.15,4.0,-15.3,1490.0,146.0,13.36367,0,101
46.56937397440089,10.92674616663212,2578,7,-1.1791667,10.1,-10.8,611.0,68.0,19.339548,0,166
46.472018485288864,11.159805703792456,1438,7,6.0875,20.0,-5.2,492.0,68.0,49.580803,0,203
46.56165663549361,11.455592455741598,1405,9,6.1625,20.2,-5.3,663.0,92.0,47.973804,0,128
46.49814987045324,10.724660392826546,2024,22,1.2375,14.4,-10.0,342.0,46.0,39.03995,0,321
46.40356047514705,10.815214279350416,1468,15,4.891667,19.2,-7.5,409.0,57.0,48.210922,0,8
46.51885386362555,11.815132014162584,2763,10,-2.1458335,8.8,-11.6,1134.0,129.0,21.889576,0,179
46.42983842933063,12.30025161613931,1160,9,6.25,20.6,-6.7,909.0,119.0,40.136467,0,188
47.02352096157448,10.77743347626783,2085,9,0.7708334,13.3,-10.2,898.0,109.0,25.973995,0,207
46.62951852750294,11.64037596733822,1263,20,6.825,21.2,-5.1,732.0,103.0,47.22455,0,356
46.50408390605219,10.562320836771509,3063,21,-5.108333,5.3,-14.3,913.0,95.0,12.534609,0,63
46.34477039562012,10.94848763792339,1339,21,6.0875,20.3,-5.9,431.0,59.0,48.559116,0,340
46.76438316178408,10.953150150667003,2527,25,-1.9625,9.6,-12.2,820.0,93.0,19.664043,0,182
46.42218032505918,11.19175502538742,1420,9,6.2875,20.2,-5.0,497.0,68.0,49.508415,0,201
46.73268405655634,11.188255732870854,831,25,8.525,23.7,-4.4,747.0,101.0,40.56205,0,123
46.87922365732392,11.246301619639558,2226,18,0.7708333,13.0,-9.6,885.0,113.0,31.072441,0,205
46.48475138678288,12.062496421794163,2071,12,1.8791666,14.3,-8.7,1196.0,159.0,39.386642,0,72
46.912591863850416,11.80165682600894,1425,10,4.7041664,19.0,-7.4,940.0,137.0,46.19313,0,62
46.79543305407216,10.91235850932457,2803,14,-4.0375,7.1,-14.0,1032.0,108.0,13.6001835,0,342
46.74292442846475,10.924054575474216,2524,24,-1.35,10.2,-11.6,791.0,89.0,19.4058,0,130
46.54586747025967,12.259254641449076,1463,12,4.6916666,18.4,-7.3,944.0,133.0,43.896633,0,205
46.33890173933568,12.252161382279857,1578,23,5.1583333,18.4,-5.9,1039.0,134.0,39.098385,0,286
46.783204471753926,11.513001363512275,2220,16,0.7166667,13.2,-9.7,915.0,119.0,33.6077,0,31
47.01112762819192,10.82767545167541,2600,10,-2.35,9.1,-12.5,1185.0,127.0,15.490263,0,141
46.42193547906588,11.490940751773666,983,3,8.129167,23.0,-4.4,682.0,89.0,42.366055,0,237
46.93191352378753,11.54450167134401,1778,14,3.3,16.6,-7.7,926.0,127.0,41.270576,0,329
46.5073774582141,11.13448824594454,1463,7,5.6375,19.4,-5.5,499.0,69.0,49.26379,0,216
