Datum,Latitude,Longitude,UUID,MOVEMENT_C,MOVEMENT_D,Temperature_500hPa_K,Temperature_700hPa_K,Temperature_850hPa_K
2021-05-08 00:00:00,46.89643407515389,11.865901557067136,a9036e6c-4176-11ec-a51f-0242ac13000d,2.0,Gleitung rotational/translational,251.06748962402344,264.354736328125,272.41259765625
2021-05-08 00:00:00,46.89646703882785,11.867395073291538,f647f378-4176-11ec-a2a7-0242ac13000d,2.0,Gleitung rotational/translational,251.06748962402344,264.354736328125,272.41259765625
2021-05-08 00:00:00,46.89637252373677,11.844160396863264,2b9ddec0-4177-11ec-a300-0242ac13000d,2.0,Gleitung rotational/translational,251.06748962402344,264.354736328125,272.41259765625
2021-01-04 17:00:00,46.676032779514564,11.895321555901058,c30a7a68-4887-11ec-a1e7-0242ac13000d,2.0,Gleitung rotational/translational,242.2239227294922,261.173095703125,269.3447265625
2021-08-02 00:00:00,46.24790657535332,11.230960311297313,9b9802f6-4888-11ec-aeb1-0242ac13000d,2.0,Gleitung rotational/translational,257.83758544921875,274.214111328125,283.044677734375
2021-04-02 00:00:00,46.747874092605635,11.197447381450196,08468b20-4889-11ec-ab4f-0242ac13000d,2.0,Gleitung rotational/translational,253.23382568359375,269.937744140625,278.533935546875
2020-07-12 00:00:00,46.56973848954456,11.06542309194517,d0b4fd04-488d-11ec-9dbe-0242ac13000d,2.0,Gleitung rotational/translational,259.3736572265625,273.40087890625,282.704833984375
2021-12-02 00:00:00,46.66144823083201,11.550094220510193,55b78492-488c-11ec-969f-0242ac13000d,2.0,Gleitung rotational/translational,248.96636962890625,264.6162109375,271.93359375
2024-01-04 00:00:00,46.52595188593724,11.254519342555655,d35f0848-0afd-11f0-9666-c270514588df,2.0,Gleitung rotational/translational,,,
2024-01-04 00:00:00,46.53001328128115,11.260522868319415,573a2088-0afb-11f0-8720-c270514588df,2.0,Gleitung rotational/translational,,,
2024-01-04 11:00:00,46.58330328739591,11.167226915109623,3ddf370c-0bad-11ef-b4aa-0242ac120003,2.0,Gleitung rotational/translational,,,
2024-02-04 00:00:00,46.38303068367002,11.272011655078606,1e9c745e-f2b6-11ef-9170-0242ac120004,2.0,Gleitung rotational/translational,,,
2024-12-02 00:00:00,46.661553965502875,11.187660233289547,02257356-0f9a-11f0-b85e-c270514588df,7.0,Komplexe Rutschung,,,
2024-03-04 18:00:00,46.38311065436588,11.282819980970343,8f58c23c-d96c-11ef-bdf0-0242ac12000f,2.0,Gleitung rotational/translational,,,
2024-02-03 00:00:00,46.72428011180981,11.880097661211282,b8d53206-bd1c-11ef-8969-0242ac120012,2.0,Gleitung rotational/translational,,,
2024-05-03 00:00:00,46.480319154985,11.262216920293232,87b91e36-6950-11f0-bd0c-b2374db36148,2.0,Gleitung rotational/translational,,,
2024-02-06 05:00:00,46.68658413249887,10.607653928695285,faecc6a0-6865-11f0-bda7-b2374db36148,2.0,Gleitung rotational/translational,,,
2023-03-11 00:00:00,46.60912322891836,11.379946604604307,60e16308-96a7-11ef-958f-0242ac120010,2.0,Gleitung rotational/translational,253.7681121826172,263.887939453125,276.08349609375
2023-03-11 00:00:00,46.601681612032486,11.585994101332837,d0fbad10-96a7-11ef-958f-0242ac120010,2.0,Gleitung rotational/translational,254.3550262451172,264.297607421875,276.22216796875
2023-03-11 00:00:00,46.56545600844298,11.552435850506996,fad1cade-96a7-11ef-958f-0242ac120010,2.0,Gleitung rotational/translational,254.3550262451172,264.297607421875,276.22216796875
2023-03-11 00:00:00,46.42576986456934,11.349238433020709,26a88c10-96a8-11ef-924e-0242ac120010,5.0,Schnelles Fliessen (Mure),254.2725067138672,265.503662109375,276.623046875
2023-03-11 11:00:00,46.31443709945472,11.278788704654215,496eccaa-96a8-11ef-99f8-0242ac120010,2.0,Gleitung rotational/translational,250.71157836914062,267.675537109375,279.35546875
2023-03-11 11:00:00,46.22945353763133,11.212943563568222,0dc32258-b2f2-11ef-a893-0242ac120012,2.0,Gleitung rotational/translational,250.72964477539062,268.205322265625,279.47607421875
2023-02-11 00:00:00,46.69561174491313,10.50051741685961,52fa8a82-96aa-11ef-9d2c-0242ac120010,2.0,Gleitung rotational/translational,250.81283569335938,266.37109375,269.21826171875
2023-03-11 00:00:00,46.80109409501621,11.662994011523448,991f20c2-96aa-11ef-924e-0242ac120010,2.0,Gleitung rotational/translational,253.4717254638672,263.489013671875,275.421875
